Topology,Host name,Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Packet Loss,Throughput (Gbps)
"star, k=8",h2,4,25,quic,0,92.5512635330151
"star, k=8",h2,4,50,quic,0,86.41361161481747
"star, k=8",h2,4,75,quic,0,83.99930139096817
"star, k=8",h3,1,25,tcp,0,24.999299124434405
"star, k=8",h3,1,50,tcp,0,30.13263120767517
"star, k=8",h3,1,75,tcp,0,29.89274874563958
"star, k=8",h3,2,25,tcp,0,49.98459879372637
"star, k=8",h3,2,50,tcp,0,52.21454080251334
"star, k=8",h3,2,75,tcp,0,52.47157462911305
"star, k=8",h3,4,25,tcp,0,91.4979147555247
"star, k=8",h3,4,50,tcp,0,83.96217582971798
"star, k=8",h3,4,75,tcp,0,83.72777665374328
"star, k=8",h3,1,25,udp,0.809543964767136,2.2067866568802152
"star, k=8",h3,1,50,udp,0.732573083403019,2.3473487175606267
"star, k=8",h3,1,75,udp,1.33094555154243,2.3052746112673996
"star, k=8",h3,2,25,udp,0.35573876512743413,4.50710573831983
"star, k=8",h3,2,50,udp,0.522806200338911,4.573303019363413
"star, k=8",h3,2,75,udp,0.417924261826332,4.531755062271914
"star, k=8",h3,4,25,udp,0.449601505333656,8.51907936148303
"star, k=8",h3,4,50,udp,0.661459330164073,8.09713191193233
"star, k=8",h3,4,75,udp,1.168399716991653,7.602918328064044
"star, k=8",h3,1,25,quic,0,24.84196312827099
"star, k=8",h3,1,50,quic,0,29.412205923193863
"star, k=8",h3,1,75,quic,0,30.112265742264608
"star, k=8",h3,2,25,quic,0,49.9965138296629
"star, k=8",h3,2,50,quic,0,52.85035901858112
"star, k=8",h3,2,75,quic,0,52.39012144279618
"star, k=8",h3,4,25,quic,0,94.076839475205
"star, k=8",h3,4,50,quic,0,84.33059477902229
"star, k=8",h3,4,75,quic,0,84.07799154784159
"star, k=8",h4,1,25,tcp,0,24.9995536261083
"star, k=8",h4,1,50,tcp,0,29.990209958345076
"star, k=8",h4,1,75,tcp,0,29.68198027810732
"star, k=8",h4,2,25,tcp,0,49.997413821787035
"star, k=8",h4,2,50,tcp,0,52.82465916717489
"star, k=8",h4,2,75,tcp,0,53.13200929210338
"star, k=8",h4,4,25,tcp,0,93.26950399841306
"star, k=8",h4,4,50,tcp,0,86.09975712626503
"star, k=8",h4,4,75,tcp,0,83.91775514727341
"star, k=8",h4,1,25,udp,0.919476541895627,2.1228192325739093
"star, k=8",h4,1,50,udp,7.453038882343735,2.239844480749793
"star, k=8",h4,1,75,udp,0.7274731566827947,2.428754077562275
"star, k=8",h4,2,25,udp,10.777663903257242,4.416485947223965
"star, k=8",h4,2,50,udp,0.39654135590061385,4.63364098099283
"star, k=8",h4,2,75,udp,0.558484582383995,4.693473422237351
"star, k=8",h4,4,25,udp,4.295576942371786,8.473228181223083
"star, k=8",h4,4,50,udp,8.610000487194894,7.126856508896432
"star, k=8",h4,4,75,udp,4.058386723443842,7.111570673709909
"star, k=8",h4,1,25,quic,0,24.99828816976403
"star, k=8",h4,1,50,quic,0,29.96739276623283
"star, k=8",h4,1,75,quic,0,30.4494699075554
"star, k=8",h4,2,25,quic,0,49.992047672533786
"star, k=8",h4,2,50,quic,0,53.131541378474196
"star, k=8",h4,2,75,quic,0,49.81045886894973
"star, k=8",h4,4,25,quic,0,91.78999203703187
"star, k=8",h4,4,50,quic,0,84.86419528577044
"star, k=8",h4,4,75,quic,0,85.48611747428254
"star, k=8",h5,1,25,tcp,0,24.998800566027427
"star, k=8",h5,1,50,tcp,0,29.833770609992378
"star, k=8",h5,1,75,tcp,0,28.428633525586232
"star, k=8",h5,2,25,tcp,0,49.7371418058044
"star, k=8",h5,2,50,tcp,0,52.4305180201511
"star, k=8",h5,2,75,tcp,0,51.47997288903518
"star, k=8",h5,4,25,tcp,0,93.60054491184478
"star, k=8",h5,4,50,tcp,0,85.88602701452476
"star, k=8",h5,4,75,tcp,0,85.20884151148856
"star, k=8",h5,1,25,udp,1.4188821275565686,2.20488979393825
"star, k=8",h5,1,50,udp,0.7203603842602276,2.491080914478917
"star, k=8",h5,1,75,udp,0.998848695203587,2.459887436700536
"star, k=8",h5,2,25,udp,0.324006863365854,4.6649720131207895
"star, k=8",h5,2,50,udp,0.7484479974935507,4.583980125538178
"star, k=8",h5,2,75,udp,0.356249635397079,4.664882296965827
"star, k=8",h5,4,25,udp,1.609001350109197,8.439924085327018
"star, k=8",h5,4,50,udp,1.8350640762122647,7.77636943780751
"star, k=8",h5,4,75,udp,0.408770602274203,8.14860141262407
"star, k=8",h5,1,25,quic,0,24.997542398988966
"star, k=8",h5,1,50,quic,0,30.30797960525455
"star, k=8",h5,1,75,quic,0,29.970857268363716
"star, k=8",h5,2,25,quic,0,49.996768528794426
"star, k=8",h5,2,50,quic,0,52.1640113328183
"star, k=8",h5,2,75,quic,0,52.870375144031215
"star, k=8",h5,4,25,quic,0,93.18179830039931
"star, k=8",h5,4,50,quic,0,84.46174649916794
"star, k=8",h5,4,75,quic,0,83.33307878565904
"star, k=8",h6,1,25,tcp,0,24.978767404346353
"star, k=8",h6,1,50,tcp,0,30.81669249499828
"star, k=8",h6,1,75,tcp,0,30.156538196984588
"star, k=8",h6,2,25,tcp,0,49.981029904998216
"star, k=8",h6,2,50,tcp,0,51.71527741486788
"star, k=8",h6,2,75,tcp,0,52.39732767949957
"star, k=8",h6,4,25,tcp,0,92.8804464983087
"star, k=8",h6,4,50,tcp,0,84.28368947778894
"star, k=8",h6,4,75,tcp,0,83.67603387439661
"star, k=8",h6,1,25,udp,0.9468077978139968,2.276465409515244
"star, k=8",h6,1,50,udp,0.8134019003119702,2.3533468716008135
"star, k=8",h6,1,75,udp,0.7448007634899568,2.3858313607541812
"star, k=8",h6,2,25,udp,0.20814468007702985,4.684510376062428
"star, k=8",h6,2,50,udp,0.2741074113995364,4.6441457847910605
"star, k=8",h6,2,75,udp,0.1597844874083381,4.732963501180742
"star, k=8",h6,4,25,udp,0.5141486431097173,8.662235540779465
"star, k=8",h6,4,50,udp,0.3810996985391742,8.218196184042743
"star, k=8",h6,4,75,udp,0.6756588895293926,8.252137639318114
"star, k=8",h6,1,25,quic,0,22.53047271590505
"star, k=8",h6,1,50,quic,0,19.635587157528185
"star, k=8",h6,1,75,quic,0,22.90940289365517
"star, k=8",h6,2,25,quic,0,49.77677307526621
"star, k=8",h6,2,50,quic,0,50.60192163780544
"star, k=8",h6,2,75,quic,0,52.177767535940475
"star, k=8",h6,4,25,quic,0,91.11624877160274
